half_day_key,prev_num_articles_ma1_10,prev_extremely_positive_count_ma1_5,prev_atr_lag9,prev_macd_signal_lag4,prev_rsi_ma5,prev_bb_lower_lag10,prev_quote_volume_ma8,prev_macd_hist_std8_ma,prev_williams_r_ma7,volume_prev_ma10,prev_quote_volume_ma7,prev_close_ma5,prev_avg_sentiment_std1_6_ma,prev_macd_hist_std7_ma,prev_extremely_positive_count_ma1_4,prev_extremely_negative_count_lag5,prev_taker_buy_base_volume_std7_ma,avg_sentiment_news_prev_std5_ma,2_periods_back_back_change_pct,2_periods_back_back_change_pct_lag1,2_periods_back_back_change_pct_lag4,prev_avg_sentiment_lag4,prev_min_sentiment_lag10,2_periods_back_back_change_pct_lag8,prev_std_sentiment_lag1,prev_min_sentiment_lag1,prev_std_sentiment_lag3,prev_rsi_std2_ma,prev_taker_buy_quote_volume_lag10,prev_median_sentiment_lag8,,Indicator
2024-03-31_H2,32,5,2717.778555,626.2107119,56.65309375,61518.26793,1036149115,179.5948945,-18.27071246,850902551.6,832351972.3,70063.14,1.237986545,126.0657235,4.5,4,4526.86221,1.386051301,0.010925177,-0.008501146,-0.008833081,2.079230769,-0.95,0.00329989,2.963914181,-4.42,2.736468707,1.812944744,591694506.8,0.255,,1
2024-04-01_H1,26.8,4.6,2618.840802,708.9522915,57.23068881,61467.97764,825282414,155.7719816,-17.88343195,750978341.1,783713040.6,70292.866,1.255658174,117.5210472,2.75,0,4075.205412,1.538680505,0.013101161,0.010925177,-0.00371357,1.078787879,-4.69,-0.011203457,2.906451772,-4.54,1.881488772,1.941293163,780013699.8,0.62,,0
2024-04-01_H2,25.8,3.8,2675.377887,775.2774375,56.50534678,61346.97536,841993320.4,142.1546887,-23.01028649,755906904.2,764520483.3,70212.186,1.254287316,122.3944096,4,5,3590.720342,1.685347531,-0.025417417,0.013101161,0.004624647,3.04,-4.76,0.016907023,2.008740379,-0.52,2.963914181,3.714927939,480553604.7,0.4,,1
2024-04-02_H1,21.9,5.2,2631.351609,816.4746859,55.70745187,61300.80576,872271821.7,136.685274,-28.73605987,669774131.5,878937576.9,70104.06,1.256386654,132.1606843,6,0,3440.717005,1.761585042,0.002676966,-0.025417417,-0.008501146,0.195454545,-4.78,0.002565984,3.57201167,-4.7,2.906451772,2.936022529,1256772311,0.9,,0
2024-04-02_H2,21.7,6.2,2529.348637,850.4707645,52.82136455,61166.97382,1074303034,150.7165291,-38.72695897,758723835.7,1091489618,69300.28,0.740779985,147.0859055,7.5,3,3568.484491,1.868690534,-0.058480303,0.002676966,0.010925177,-0.374285714,-4.82,-0.008833081,2.216307247,-4.62,2.008740379,4.811582706,560318925.2,2.58,,0
2024-04-03_H1,22,7.6,2445.120878,890.7516016,49.32819602,61049.81338,1243574602,174.5439375,-48.3710104,771773991.3,1348478510,68315.5,0.75945116,168.5617543,8.25,2,3767.063588,1.961513284,-0.002199018,-0.058480303,0.013101161,1.720714286,-4.57,-0.00371357,3.015867969,-4.76,3.57201167,4.722373054,710533521.5,0.64,,1
2024-04-03_H2,24.8,9.6,2386.686529,901.7927752,45.73695719,61498.71306,1347595284,198.9299838,-55.67353766,800178722.8,1476493371,67272.116,0.702175555,192.8264145,10,0,3790.933891,1.751055665,0.009610671,-0.002199018,-0.025417417,0.196,-1.11,0.004624647,2.515872137,-4.81,2.216307247,0.985918508,381990899.6,3.74,,0
2024-04-04_H1,27,11.4,2259.85892,894.9009182,43.61568452,62323.34153,1453074686,221.3470067,-64.19521062,833679401.9,1576124184,66569.274,0.441228228,216.1383901,11.75,7,4075.931248,1.493480925,-0.001662431,0.009610671,0.002676966,0.739230769,-4.72,-0.008501146,2.769250625,-4.83,3.015867969,0.943004897,446049037.1,0.48,,1
2024-04-04_H2,29.8,10.8,2151.301854,810.8404194,41.69785369,62915.86732,1477486415,240.6052956,-73.41672799,868616095.9,1577727974,65900.328,0.483681052,234.7105771,11.75,4,4390.440181,1.273491405,0.005387952,-0.001662431,-0.058480303,-0.048965517,0.26,0.010925177,2.888775759,-4.79,2.515872137,0.697102702,245319080.1,0.56,,1
2024-04-05_H1,34,12.6,2062.423865,678.4386659,44.0107821,62950.55702,1631567904,252.3448443,-72.7867349,1029637500,1686083994,66482.868,0.544267538,245.7074922,13.75,8,4760.572008,1.000355336,0.032892615,0.005387952,-0.002199018,-0.0342,-4.42,0.013101161,3.075590685,-4.79,2.769250625,3.496639621,204117109.6,0.67,,0
